,STID,Station Name,State,TimeZone,DayTimeSaving,Latitude,Longitude,Elevation
0,K04V,Saguache,CO,M,y,38.1,-106.167,7824.8
1,K04W,Field of Dreams Airport,MN,C,y,46.0229,-92.8952,1021.0
2,K0E0,Moriarty Airport,NM,M,y,34.9823,-106.005,6199.0
3,K0F2,Bowie Municipal Airport,TX,C,y,33.6017,-97.7756,1101.0
4,K0J4,Florala Municipal Airport,FL,E,y,31.033,-86.317,1030.18
5,K11J,Early County Airport,GA,E,y,31.397,-84.895,213.255
6,K11R,Brenham Municipal Airport,TX,C,y,30.219,-96.374,308.399
7,K12N,Aeroflex-Andover Airport,NJ,E,y,41.01,-74.74,583.99
8,K14Y,"Todd Field Airport - Long Prairie, MN",MN,C,Y,45.8983,-94.8739,1333.0
9,K1A5,Franklin/Macon County Airport,NC,E,y,35.217,-83.417,2021.0
10,K1A6,Middlesboro-Bell County Airport,KY,E,y,36.611,-83.737,1154.86
11,K1B7,Boothville Heliport,LA,C,y,29.35,-89.433,3.281
12,K1F0,Ardmore Downtown Executive Airport,OK,C,y,34.15,-97.12,843.176
13,K1H2,Effingham,IL,C,y,39.07,-88.53,587.27
14,K1M4,Posey Field Airport,AL,c,y,34.28,-87.6,930.0
15,K1P1,Plymouth Municipal Airport,NH,E,y,43.78,-71.53,505.0
16,K1V4,Saint Johnsbury,VT,E,y,44.42,-72.02,700.131
17,K20V,Kremmling/McElroy Field,CO,M,y,40.05,-106.36,7411.42
18,K21D,"Lake Elmo Airport - Lake Elmo, MN",MN,C,y,44.9975,-92.8557,933.0
19,K27A,Elbert Co. Airport-Patz Field,GA,E,y,34.095,-82.816,603.675
20,K2C8,Cavalier Municipal Airport,ND,C,y,48.7837,-97.632,892.0
21,K2G4,Garrett County Airport,MD,E,y,39.5803,-79.3394,2933.0
22,K2GL,Galliano Heliport,LA,C,y,29.417,-90.3,6.562
23,K2R8,Mustang Beach Airport,TX,C,y,27.817,-97.083,6.562
24,K2WX,Buffalo,SD,M,y,45.57,-103.53,2890.42
25,K33V,Walden/Jackson County Airport,CO,M,y,40.75,-106.271,8153.0
26,K3A6,Newhall,CA,P,y,34.4,-118.6,1400.92
27,K3B6,Eugene Island 300,LA,C,y,28.083,-92.7,3.281
28,K3DU,Drummond,MT,M,y,46.68,-113.15,4000.0
29,K3HT,Harlowton,MT,M,y,46.44,-109.84,4160.1
30,K3J7,Greene County Regional Airport,GA,E,y,33.6,-83.133,675.853
31,K3LF,Litchfield Municipal Airport,IL,C,Y,39.163,-89.675,688.976
32,K3MW,Mount Werner,CO,M,y,40.267,-106.45,10633.2
33,K3T5,La Grange,TX,C,y,29.91,-96.95,324.803
34,K3TH,Thompson Falls,MT,M,y,47.6,-115.367,2378.61
35,K40B,Clayton Lake,ME,E,y,46.617,-69.533,1030.18
36,K40G,"Grand Canyon, Valle Airport",AZ,M,n,35.65,-112.15,600.066
37,K40J,Perry-Foley Airport,FL,E,y,30.07,-83.57,42.651
38,K42J,Keystone Airpark,FL,E,y,29.8448,-82.0475,196.0
39,K45J,Rockingham,NC,E,y,34.883,-79.75,357.612
40,K48I,Braxton County Airport,WV,E,y,38.733,-80.65,1269.69
41,K4A9,Isbell Field Airport,AL,C,y,34.467,-85.717,875.984
42,K4BK,Brookings,OR,P,y,42.05,-124.283,45.932
43,K4BL,Blanding,UT,M,y,37.62,-109.47,6040.03
44,K4BM,Wilkerson Pass,CO,M,y,39.05,-105.514,11279.5
45,K4CR,Corona/Lincoln,NM,M,y,34.11,-105.68,6499.34
46,K4HV,Hanksville,UT,M,y,38.38,-110.72,4308.07
47,K4MY,Moriarty,NM,M,y,34.98,-106.05,6200.79
48,K4O4,Mc Curtain County Regional Airport,OK,C,y,33.9,-94.867,472.441
49,K4SL,Torreon,NM,M,y,36.03,-106.95,6909.45
50,K5J0,John Day State Arpt,OR,P,y,44.42,-118.95,3697.51
51,K5SM,Sunlight,CO,M,y,39.417,-107.367,10603.7
52,K6B8,Burlington International Airport (BVT),VT,E,y,44.54,-72.03,362.0
53,K6R3,Liberty County,TX,C,Y,30.214,-95.005,150.0
54,K6R6,Dryden Terrell County Airport,TX,C,y,30.422,-102.278,2319.55
55,K76S,Oak Harbor Airport,WA,P,y,48.25,-122.667,190.289
56,K77M,Malta,ID,M,y,42.3,-113.37,4540.03
57,K78D,Caro,MI,C,y,43.45,-83.45,702.1
58,K79J,Andalusia-Opp Municipal Airport,AL,C,y,31.317,-86.4,308.399
59,K7BM,Cottonwood Pass,CO,M,y,38.8,-106.217,9826.12
60,K7D2,Troy,MI,C,y,42.55,-83.183,728.346
61,K7R3,Amelia / Lake Palourd,LA,C,y,29.7,-91.1,6.562
62,K7R4,Intracoastal City,LA,C,y,29.783,-92.133,16.404
63,K7R5,Cameron Heliport,LA,C,y,29.783,-93.3,3.281
64,K7R8,South Marsh Island,LA,C,y,28.3,-91.983,3.281
65,K87Q,Pt Piedras(cg/Amos),CA,P,y,35.68,-121.28,68.898
66,K8A0,Albertville Regional Airport-Thomas J Brumlik Fiel,AL,C,y,34.2291,-86.2558,1032.0
67,K8D3,Sisseton Municipal Airport,SD,C,y,45.67,-97.0,1161.42
68,K92S,Cape Blanco (cgs),OR,P,y,42.833,-124.567,187.008
69,K9BB,Wells,NV,P,y,41.16,-114.97,5679.13
70,K9L2,Edwards Air Force Aux No Base,CA,P,y,34.983,-117.867,2299.87
71,K9V9,Chamberlain Municipal Airport,SD,C,y,43.8,-99.32,1738.84
72,KAAA,Logan County Airport,IL,C,y,40.16,-89.33,583.99
73,KAAF,Apalachicola,FL,E,y,29.728,-85.027,20.013
74,KAAO,Wichita Colonel James Jabara Airport,KS,C,y,37.75,-97.22,1420.6
75,KAAT,Alturas (was O00),CA,P,y,41.491,-120.564,4399.61
76,KABE,Allentown Lehigh Valley International Airport,PA,E,y,40.66,-75.43,390.092
77,KABH,Ellicott/USAF Academy Bullseye Auxiliary Airstrip,CO,M,y,38.7578,-104.308,6037.0
78,KABI,Abilene Regional Airport,TX,C,y,32.43,-99.68,1790.03
79,KABQ,Albuquerque Intl Airport,NM,M,y,35.05,-106.62,5310.04
80,KABR,Aberdeen Regional Airport,SD,C,y,45.46,-98.43,1306.1
81,KABY,"Albany, Southwest Georgia Regional Airport",GA,E,y,31.54,-84.18,189.961
82,KACB,"Bellaire, Antrim County Airport",MI,E,y,44.99,-85.2,623.36
83,KACK,Nantucket Memorial Airport,MA,E,y,41.26,-70.07,44.948
84,KACQ,Waseca Muni Airport,MN,C,y,44.07,-93.55,1125.33
85,KACT,Waco Regional Airport,TX,C,y,31.62,-97.22,577.1
86,KACV,Arcata/Eureka Airport,CA,P,y,40.98,-124.1,203.084
87,KACY,Atlantic City International Airport,NJ,E,y,39.46,-74.57,60.039
88,KADC,Wadena Municipal Airport,MN,C,y,46.447,-95.212,1371.39
89,KADG,"Adrian, Lenawee County Airport",MI,E,y,41.87,-84.07,800.525
90,KADH,Ada Municipal Airport,OK,C,y,34.804,-96.671,1017.06
91,KADM,Ardmore Municipal,OK,C,y,34.3,-97.02,761.155
92,KADS,Dallas / Addison Airport,TX,C,y,32.98,-96.83,643.045
93,KADU,Audubon County Airport,IA,C,y,41.7,-94.92,1286.09
94,KADW,Camp Springs / Andrews Air Force Base,MD,E,y,38.83,-76.87,282.152
95,KAEG,Double Eagle II Apt,NM,M,y,35.15,-106.8,5836.61
96,KAEJ,Central Colorado Regional Airport,CO,M,y,38.8142,-106.121,7946.0
